dataset,model,probability_calibration,method,setting,coverage_class_1,abstention_rate,mean_cost,ablation
adult,ada,isotonic,cost_tuned_threshold,,0.95098374679213,0.0,0.40986794963660556,alpha_frontier
adult,ada,isotonic,marginal_cp,0.01,0.9711719418306245,0.5336574879721568,0.06947486948510595,alpha_frontier
adult,ada,isotonic,marginal_cp,0.03,0.8932420872540632,0.36260620329614085,0.25665881871225305,alpha_frontier
adult,ada,isotonic,marginal_cp,0.05,0.8555175363558597,0.29187224895076264,0.35404852083120075,alpha_frontier
adult,ada,isotonic,marginal_cp,0.06999999999999999,0.8088537211291703,0.239819838263896,0.4691473026921896,alpha_frontier
adult,ada,isotonic,marginal_cp,0.09,0.7411890504704876,0.16663936943392363,0.6376292353362678,alpha_frontier
adult,ada,isotonic,marginal_cp,0.11,0.7307955517536355,0.12357457262769986,0.6755246186917802,alpha_frontier
adult,ada,isotonic,marginal_cp,0.13,0.6351154833190762,0.06789845429419593,0.9045245163271574,alpha_frontier
adult,ada,isotonic,marginal_cp,0.15000000000000002,0.5577416595380666,0.01893745521547753,1.092619510697103,alpha_frontier
adult,ada,isotonic,marginal_cp,0.17,0.5208297690333619,0.02268400040945849,1.0681134200020472,alpha_frontier
adult,ada,isotonic,marginal_cp,0.19,0.5017964071856287,0.04909407308834067,0.9821066639369433,alpha_frontier
adult,ada,isotonic,marginal_cp,0.21000000000000002,0.5017964071856287,0.060180161736104,0.9386016992527383,alpha_frontier
adult,ada,isotonic,marginal_cp,0.23,0.48712574850299406,0.13397481830279456,0.6528610912068789,alpha_frontier
adult,ada,isotonic,marginal_cp,0.25,0.47104362703165104,0.14358685638243424,0.6402088238304842,alpha_frontier
adult,ada,isotonic,marginal_cp,0.27,0.36569717707442256,0.18711229399119664,0.6073190705292251,alpha_frontier
adult,ada,isotonic,marginal_cp,0.29000000000000004,0.3561163387510693,0.19591565155082402,0.5893131333811035,alpha_frontier
adult,ada,isotonic,marginal_cp,0.31,0.32497861420017105,0.2379670385914628,0.49122735182720856,alpha_frontier
adult,ada,isotonic,marginal_cp,0.33,0.31817792985457655,0.2570989865902344,0.44261439246596374,alpha_frontier
adult,ada,isotonic,marginal_cp,0.35000000000000003,0.3023096663815227,0.29159586446923946,0.3585730371583581,alpha_frontier
adult,ada,isotonic,marginal_cp,0.37,0.2434131736526946,0.3210256935203194,0.3259289589517863,alpha_frontier
adult,ada,isotonic,marginal_cp,0.39,0.22425149700598804,0.3503633944108916,0.2754324905312724,alpha_frontier
adult,ada,isotonic,marginal_cp,0.41000000000000003,0.20414884516680926,0.37401985873682053,0.24115057836011874,alpha_frontier
adult,ada,isotonic,marginal_cp,0.43,0.203464499572284,0.38064284983109836,0.22975739584399632,alpha_frontier
adult,ada,isotonic,marginal_cp,0.45,0.20213857998289136,0.38927218753198894,0.21540587572934794,alpha_frontier
adult,ada,isotonic,mondrian_cp,0.01,0.9949529512403764,0.7196232981881462,0.01358378544375064,alpha_frontier
adult,ada,isotonic,mondrian_cp,0.03,0.9755346449957228,0.49718497287337493,0.07302692189579281,alpha_frontier
adult,ada,isotonic,mondrian_cp,0.05,0.9651411462788708,0.40650015354693425,0.11653188657999795,alpha_frontier
adult,ada,isotonic,mondrian_cp,0.06999999999999999,0.9466638152266895,0.3265124373016685,0.17214658613983008,alpha_frontier
adult,ada,isotonic,mondrian_cp,0.09,0.9313515825491873,0.27814515303511106,0.21858941549800387,alpha_frontier
adult,ada,isotonic,mondrian_cp,0.11,0.9028656971770743,0.2169618179957007,0.29539359197461357,alpha_frontier
adult,ada,isotonic,mondrian_cp,0.13,0.8824208725406331,0.1705292250998055,0.35536902446514484,alpha_frontier
adult,ada,isotonic,mondrian_cp,0.15000000000000002,0.8717707442258341,0.10156617872863138,0.4156208414371993,alpha_frontier
adult,ada,isotonic,mondrian_cp,0.17,0.8614627887082976,0.08582249974408844,0.4438222950148429,alpha_frontier
adult,ada,isotonic,mondrian_cp,0.19,0.8379811804961506,0.06426451018527997,0.5000204729245572,alpha_frontier
adult,ada,isotonic,mondrian_cp,0.21000000000000002,0.8379811804961506,0.021424915549186203,0.5300440167877982,alpha_frontier
adult,ada,isotonic,mondrian_cp,0.23,0.8379811804961506,0.015948408230115674,0.5167161429010134,alpha_frontier
adult,ada,isotonic,mondrian_cp,0.25,0.7963644140290846,0.05688402088238305,0.4603951274439554,alpha_frontier
adult,ada,isotonic,mondrian_cp,0.27,0.7695038494439692,0.10267171665472412,0.39248643668748084,alpha_frontier
adult,ada,isotonic,mondrian_cp,0.29000000000000004,0.7394781864841745,0.1414781451530351,0.34774286006756067,alpha_frontier
adult,ada,isotonic,mondrian_cp,0.31,0.7307955517536355,0.15122325724229707,0.33503941037977275,alpha_frontier
adult,ada,isotonic,mondrian_cp,0.33,0.7307955517536355,0.1573753710717576,0.32562186508342716,alpha_frontier
adult,ada,isotonic,mondrian_cp,0.35000000000000003,0.7249358426005132,0.17281195618794146,0.30523083222438324,alpha_frontier
adult,ada,isotonic,mondrian_cp,0.37,0.705945252352438,0.23573548981472,0.22736206367079537,alpha_frontier
adult,ada,isotonic,mondrian_cp,0.39,0.6882378100940976,0.25246186917801205,0.2154263486539052,alpha_frontier
adult,ada,isotonic,mondrian_cp,0.41000000000000003,0.6530367835757057,0.28680520012283756,0.19096120380796394,alpha_frontier
adult,ada,isotonic,mondrian_cp,0.43,0.608682634730539,0.3291022622581636,0.16160302999283446,alpha_frontier
adult,ada,isotonic,mondrian_cp,0.45,0.594568006843456,0.3439758419490224,0.15309652983928754,alpha_frontier
adult,ada,none,cost_tuned_threshold,,0.954448246364414,0.0,0.4054867437813492,alpha_frontier
adult,ada,none,marginal_cp,0.01,0.9638152266894782,0.5157743883713788,0.08686661889650937,alpha_frontier
adult,ada,none,marginal_cp,0.03,0.8922155688622755,0.36158255706827724,0.2588596581021599,alpha_frontier
adult,ada,none,marginal_cp,0.05,0.8459366980325065,0.2754631999181083,0.3792814003480397,alpha_frontier
adult,ada,none,marginal_cp,0.06999999999999999,0.7890076988879384,0.2239226123451735,0.5164807042686047,alpha_frontier
adult,ada,none,marginal_cp,0.09,0.7313088109495295,0.1504452861091207,0.6648684614597195,alpha_frontier
adult,ada,none,marginal_cp,0.11,0.6659965782720274,0.0982598014126318,0.825990377725458,alpha_frontier
adult,ada,none,marginal_cp,0.13,0.5913601368691189,0.046125499027536085,1.0076568737844203,alpha_frontier
adult,ada,none,marginal_cp,0.15000000000000002,0.5614200171086399,0.018957928140034806,1.083130310164807,alpha_frontier
adult,ada,none,marginal_cp,0.17,0.5034217279726262,0.039441089159586454,1.0143515201146482,alpha_frontier
adult,ada,none,marginal_cp,0.19,0.4807955517536356,0.05443750639778892,0.9877674275770293,alpha_frontier
adult,ada,none,marginal_cp,0.21000000000000002,0.4642429426860565,0.10123861193571501,0.8274439553690245,alpha_frontier
adult,ada,none,marginal_cp,0.23,0.44666381522668946,0.13406694646330228,0.7122632818098065,alpha_frontier
adult,ada,none,marginal_cp,0.25,0.40654405474764754,0.16656771419797317,0.6319479987716246,alpha_frontier
adult,ada,none,marginal_cp,0.27,0.3426005132591959,0.1965196028252636,0.5958951786262668,alpha_frontier
adult,ada,none,marginal_cp,0.29000000000000004,0.3360136869118905,0.21652165011771932,0.5470058347834988,alpha_frontier
adult,ada,none,marginal_cp,0.31,0.33186484174508124,0.24386324086395744,0.46807247415293274,alpha_frontier
adult,ada,none,marginal_cp,0.33,0.319803250641574,0.2817279148326338,0.37306786774490736,alpha_frontier
adult,ada,none,marginal_cp,0.35000000000000003,0.31218990590248075,0.30589620227249464,0.31717678370355207,alpha_frontier
adult,ada,none,marginal_cp,0.37,0.28190761334473907,0.3257651755553281,0.28759340771829256,alpha_frontier
adult,ada,none,marginal_cp,0.39,0.21928999144568007,0.3560241580509776,0.2647353874500972,alpha_frontier
adult,ada,none,marginal_cp,0.41000000000000003,0.202224123182207,0.3808475790766711,0.22670693008496262,alpha_frontier
adult,ada,none,marginal_cp,0.43,0.19649272882805818,0.4059064387347733,0.19386835909509675,alpha_frontier
adult,ada,none,marginal_cp,0.45,0.19101796407185628,0.4330637731599959,0.16064080253864263,alpha_frontier
adult,ada,none,mondrian_cp,0.01,0.9908041060735672,0.6516736615825571,0.024219469751253966,alpha_frontier
adult,ada,none,mondrian_cp,0.03,0.9723695466210437,0.4674378134916573,0.08681543658511617,alpha_frontier
adult,ada,none,mondrian_cp,0.05,0.9547048759623611,0.36702835500051184,0.14457979322346198,alpha_frontier
adult,ada,none,mondrian_cp,0.06999999999999999,0.9357998289136014,0.29115569659125806,0.20482137373323778,alpha_frontier
adult,ada,none,mondrian_cp,0.09,0.9177929854576561,0.25387450097246395,0.25061930596785753,alpha_frontier
adult,ada,none,mondrian_cp,0.11,0.8984602224123183,0.18336574879721568,0.32277612856996624,alpha_frontier
adult,ada,none,mondrian_cp,0.13,0.8759623609923011,0.1290306070222131,0.3925580919234313,alpha_frontier
adult,ada,none,mondrian_cp,0.15000000000000002,0.8567151411462788,0.08468625243115979,0.4532500767734671,alpha_frontier
adult,ada,none,mondrian_cp,0.17,0.8412318220701455,0.05758010031733033,0.4985259494318763,alpha_frontier
adult,ada,none,mondrian_cp,0.19,0.831437125748503,0.04512232572422971,0.5236974101750435,alpha_frontier
adult,ada,none,mondrian_cp,0.21000000000000002,0.8295979469632165,0.02222335960691985,0.5288668236257549,alpha_frontier
adult,ada,none,mondrian_cp,0.23,0.8045337895637298,0.04540894666803153,0.4807349779916061,alpha_frontier
adult,ada,none,mondrian_cp,0.25,0.773011120615911,0.08970211894769167,0.4170130003070939,alpha_frontier
adult,ada,none,mondrian_cp,0.27,0.7513259195893927,0.12309345890060394,0.36946463302282734,alpha_frontier
adult,ada,none,mondrian_cp,0.29000000000000004,0.7308383233532935,0.1556658818712253,0.32548879107380485,alpha_frontier
adult,ada,none,mondrian_cp,0.31,0.7245936698032507,0.17797113317637425,0.29689835192957315,alpha_frontier
adult,ada,none,mondrian_cp,0.33,0.7174935842600514,0.20085986283140547,0.26854335141775004,alpha_frontier
adult,ada,none,mondrian_cp,0.35000000000000003,0.6685201026518393,0.2498618077592384,0.22343126215579895,alpha_frontier
adult,ada,none,mondrian_cp,0.37,0.6540205303678357,0.27218753198894463,0.20428907769474872,alpha_frontier
adult,ada,none,mondrian_cp,0.39,0.6496150556030795,0.294339236359914,0.1849421639881257,alpha_frontier
adult,ada,none,mondrian_cp,0.41000000000000003,0.6091958939264328,0.33553076056914727,0.15548162555020986,alpha_frontier
adult,ada,none,mondrian_cp,0.43,0.583404619332763,0.3627597502303204,0.13389292660456548,alpha_frontier
adult,ada,none,mondrian_cp,0.45,0.5755346449957228,0.3839594636093766,0.12349268092947077,alpha_frontier
adult,ada,sigmoid,cost_tuned_threshold,,0.9553464499572284,0.0,0.4071859965196028,alpha_frontier
adult,ada,sigmoid,marginal_cp,0.01,0.9626603934987168,0.520472924557273,0.08952809908895486,alpha_frontier
