dataset,seed,probability_calibration,n_samples,n_features,positive_rate,model_train_n,model_train_class_0,model_train_class_1,model_train_positive_rate,probability_calibration_n,probability_calibration_class_0,probability_calibration_class_1,probability_calibration_positive_rate,conformal_calibration_n,conformal_calibration_class_0,conformal_calibration_class_1,conformal_calibration_positive_rate,test_n,test_class_0,test_class_1,test_positive_rate
uci_default,7,none,30000,23,0.2212,18000,14018,3982,0.2212222222222222,0,0,0,,6000,4673,1327,0.22116666666666668,6000,4673,1327,0.22116666666666668
uci_default,7,sigmoid,30000,23,0.2212,14400,11214,3186,0.22125,3600,2804,796,0.22111111111111112,6000,4673,1327,0.22116666666666668,6000,4673,1327,0.22116666666666668
uci_default,7,isotonic,30000,23,0.2212,14400,11214,3186,0.22125,3600,2804,796,0.22111111111111112,6000,4673,1327,0.22116666666666668,6000,4673,1327,0.22116666666666668
uci_default,19,none,30000,23,0.2212,18000,14018,3982,0.2212222222222222,0,0,0,,6000,4673,1327,0.22116666666666668,6000,4673,1327,0.22116666666666668
uci_default,19,sigmoid,30000,23,0.2212,14400,11214,3186,0.22125,3600,2804,796,0.22111111111111112,6000,4673,1327,0.22116666666666668,6000,4673,1327,0.22116666666666668
uci_default,19,isotonic,30000,23,0.2212,14400,11214,3186,0.22125,3600,2804,796,0.22111111111111112,6000,4673,1327,0.22116666666666668,6000,4673,1327,0.22116666666666668
uci_default,31,none,30000,23,0.2212,18000,14018,3982,0.2212222222222222,0,0,0,,6000,4673,1327,0.22116666666666668,6000,4673,1327,0.22116666666666668
uci_default,31,sigmoid,30000,23,0.2212,14400,11214,3186,0.22125,3600,2804,796,0.22111111111111112,6000,4673,1327,0.22116666666666668,6000,4673,1327,0.22116666666666668
uci_default,31,isotonic,30000,23,0.2212,14400,11214,3186,0.22125,3600,2804,796,0.22111111111111112,6000,4673,1327,0.22116666666666668,6000,4673,1327,0.22116666666666668
uci_default,42,none,30000,23,0.2212,18000,14018,3982,0.2212222222222222,0,0,0,,6000,4673,1327,0.22116666666666668,6000,4673,1327,0.22116666666666668
uci_default,42,sigmoid,30000,23,0.2212,14400,11214,3186,0.22125,3600,2804,796,0.22111111111111112,6000,4673,1327,0.22116666666666668,6000,4673,1327,0.22116666666666668
