dataset,model,probability_calibration,defer_cost,n_seeds,mondrian_cost,mondrian_abstain,threshold_cost,cost_diff,cost_diff_ci_lo,cost_diff_ci_hi,p_mondrian_cheaper,mondrian_wins
adult,ada,isotonic,0.0,10,0.2427372300133074,0.2578769577234108,0.4080970416624015,-0.16535981164909405,-0.19392965505182216,-0.13678996824636594,1.0,True
adult,ada,isotonic,0.5,10,0.3716757088750128,0.2578769577234108,0.4080970416624015,-0.036421332787388676,-0.05527729206639448,-0.01756537350838287,0.8564,True
adult,ada,isotonic,1.0,10,0.5006141877367183,0.2578769577234108,0.4080970416624015,0.09251714607431673,0.08171740887628923,0.10331688327234423,0.0,False
adult,ada,isotonic,2.0,10,0.758491145460129,0.2578769577234108,0.4080970416624015,0.35039410379772756,0.33295460280728145,0.3678336047881737,0.0,False
adult,ada,none,0.0,10,0.2883304330023544,0.21271368615006653,0.40518988637526876,-0.11685945337291433,-0.1307817641211415,-0.10293714262468714,1.0,True
adult,ada,none,0.5,10,0.3946872760773877,0.21271368615006653,0.40518988637526876,-0.010502610297881052,-0.019760858253060707,-0.0012443623427013974,0.7021000000000001,True
adult,ada,none,1.0,10,0.5010441191524209,0.21271368615006653,0.40518988637526876,0.09585423277715223,0.08942520751787512,0.10228325803642933,0.0,False
adult,ada,none,2.0,10,0.7137578053024874,0.21271368615006653,0.40518988637526876,0.30856791892721874,0.2965777078022869,0.32055813005215056,0.0,False
adult,ada,sigmoid,0.0,10,0.3002866209438018,0.2117207493090388,0.4076978196335347,-0.10741119868973281,-0.12191955113908168,-0.09290284624038395,1.0,True
adult,ada,sigmoid,0.5,10,0.40614699559832124,0.2117207493090388,0.4076978196335347,-0.00155082403521343,-0.01133488194257909,0.008233233872152228,0.5076,True
adult,ada,sigmoid,1.0,10,0.5120073702528407,0.2117207493090388,0.4076978196335347,0.10430955061930595,0.09847878228070077,0.11014031895791114,0.0,False
adult,ada,sigmoid,2.0,10,0.7237281195618793,0.2117207493090388,0.4076978196335347,0.31603029992834475,0.30768513870659536,0.32437546115009414,0.0,False
adult,et,isotonic,0.0,10,0.25919746135735494,0.2068174838775719,0.3886579997952707,-0.12946053843791588,-0.14798179834832587,-0.1109392785275059,1.0,True
adult,et,isotonic,0.5,10,0.36260620329614085,0.2068174838775719,0.3886579997952707,-0.0260517964991299,-0.03938957567397043,-0.012714017324289364,0.8555999999999999,True
adult,et,isotonic,1.0,10,0.4660149452349268,0.2068174838775719,0.3886579997952707,0.07735694543965607,0.06791237438682929,0.08680151649248286,0.0,False
adult,et,isotonic,2.0,10,0.6728324291124987,0.2068174838775719,0.3886579997952707,0.28417442931722803,0.2722941972612553,0.29605466137320074,0.0,False
adult,et,none,0.0,10,0.2969085883918518,0.17350803562288875,0.38656976149042893,-0.08966117309857713,-0.1064976092990972,-0.07282473689805706,0.9964000000000001,True
