dataset,model,probability_calibration,marginal_minority_coverage,mondrian_minority_coverage,coverage_gain,mondrian_abstention,mondrian_cost,break_even_defer_cost,failure_mode
miniboone,gnb,isotonic,0.9993424657534247,0.9993424657534247,0.0,0.9945104370891477,0.0018452312305385766,0.7180075917464883,high_abstention
miniboone,gnb,sigmoid,0.9993424657534247,0.9993424657534247,0.0,0.9945104370891477,0.0018452312305385766,0.7193063834063904,high_abstention
miniboone,gnb,none,1.0,0.9993150684931507,-0.00068493150684934,0.9944796832353054,0.001922115865144351,0.7180066023951077,high_abstention
fraud,gb,none,0.407070707070707,1.0,0.592929292929293,0.9881482391769951,0.01094764931006636,0.0,high_abstention
fraud,hgb,isotonic,0.0,1.0,1.0,0.9778677012745339,0.02083494259330782,0.0,high_abstention
fraud,gb,isotonic,0.06060606060606061,1.0,0.9393939393939394,0.9700203644534954,0.028942101752045223,0.0,high_abstention
fraud,gb,sigmoid,0.0,0.9747474747474747,0.9747474747474747,0.9613760050560021,0.0378410168182297,0.0,high_abstention
diabetes130us,gnb,none,0.999955985915493,0.974911971830986,-0.02504401408450696,0.9370541416920506,0.04648226392846615,0.898258252590076,high_abstention
ozone_level_8hr,gnb,isotonic,0.0,0.990625,0.990625,0.9216962524654833,0.027218934911242602,0.4363364005991868,high_abstention
diabetes130us,gnb,isotonic,0.6480633802816901,0.9678257042253522,0.3197623239436621,0.9077969932200061,0.0659477252628476,0.876626996368517,high_abstention
diabetes130us,gnb,sigmoid,0.6429137323943662,0.9591549295774648,0.3162411971830986,0.9030018669548984,0.07915888768792376,0.8961408510476232,high_abstention
seismic_bumps,et,isotonic,0.011764705882352941,0.9882352941176471,0.9764705882352942,0.8727272727272727,0.06054158607350098,0.4465868794326241,high_abstention
seismic_bumps,logreg,isotonic,0.0029411764705882353,0.9911764705882353,0.9882352941176471,0.8725338491295938,0.06711798839458415,0.43959210818000444,high_abstention
