dataset,model,probability_calibration,method,n_seeds,marginal_coverage_mean,marginal_coverage_ci_lo,marginal_coverage_ci_hi,coverage_class_0_mean,coverage_class_0_ci_lo,coverage_class_0_ci_hi,coverage_class_1_mean,coverage_class_1_ci_lo,coverage_class_1_ci_hi,average_set_size_mean,average_set_size_ci_lo,average_set_size_ci_hi,abstention_rate_mean,abstention_rate_ci_lo,abstention_rate_ci_hi,mean_cost_mean,mean_cost_ci_lo,mean_cost_ci_hi
adult,ada,isotonic,aps_cp,10,0.9002661480192445,0.8970155569098878,0.9035167391286013,0.9342484187861662,0.9318463523913892,0.9366504851809431,0.7922583404619332,0.7817051919860889,0.8028114889377775,1.233882690142287,1.2262795570903016,1.2414858231942725,0.31714607431671615,0.31264404235039045,0.32164810628304186,0.46411096325110046,0.44087056617555515,0.4873513603266458
adult,ada,isotonic,capacity_limited_aps,10,0.8941754529634558,0.8930860151723254,0.8952648907545862,0.958632754676356,0.9540251775548398,0.9632403317978722,0.6893071000855431,0.6765111376584476,0.7021030625126385,1.0999078718394926,1.0999078718394923,1.0999078718394928,0.09990787183949226,0.09990787183949225,0.09990787183949228,0.7750435049646842,0.7477418494987652,0.8023451604306032
adult,ada,isotonic,capacity_limited_class_conditional_rejector,10,0.8943801822090286,0.8929159309609597,0.8958444334570975,0.9589288117346252,0.9558494028478834,0.9620082206213669,0.6892215568862275,0.681118535379775,0.6973245783926801,1.0999078718394926,1.0999078718394923,1.0999078718394928,0.09990787183949226,0.09990787183949225,0.09990787183949228,0.7750230320401268,0.7574011146741333,0.7926449494061203
adult,ada,isotonic,capacity_limited_confidence_rejector,10,0.8944211280581431,0.8928924961613831,0.8959497599549031,0.9589288117346252,0.9558494028478834,0.9620082206213669,0.6893926432848589,0.6822695801142732,0.6965157064554447,1.0999078718394926,1.0999078718394923,1.0999078718394928,0.09990787183949226,0.09990787183949225,0.09990787183949228,0.7746135735489814,0.7592662299436074,0.7899609171543555
adult,ada,isotonic,capacity_limited_mondrian,10,0.8870406387552462,0.8842710001763586,0.8898102773341338,0.9235230789934061,0.9163791225126368,0.9306670354741755,0.7710863986313089,0.758131778452571,0.7840410188100468,1.0999078718394926,1.0999078718394923,1.0999078718394928,0.09990787183949226,0.09990787183949225,0.09990787183949228,0.6060292762821169,0.5800280761343577,0.6320304764298761
adult,ada,isotonic,capacity_limited_raps,10,0.8929675504145769,0.8917191649321805,0.8942159358969732,0.9624276678778092,0.9573833594032575,0.9674719763523609,0.6721984602224124,0.657359005465166,0.6870379149796587,1.0999078718394926,1.0999078718394923,1.0999078718394928,0.09990787183949226,0.09990787183949225,0.09990787183949228,0.8131026717166547,0.7811924271272642,0.8450129163060452
adult,ada,isotonic,capacity_limited_risk_controlled_rejector,10,0.8941754529634558,0.8926610488644049,0.8956898570625067,0.9589288117346252,0.9558494028478834,0.9620082206213669,0.6883661248930709,0.6807110702131915,0.6960211795729503,1.0999078718394926,1.0999078718394923,1.0999078718394928,0.09990787183949226,0.09990787183949225,0.09990787183949228,0.7770703244958542,0.7604680356533366,0.7936726133383718
adult,ada,isotonic,class_conditional_rejector,10,0.9323984031118846,0.9283153029116671,0.9364815033121021,0.9951285156775669,0.9915613475610672,0.9986956837940666,0.7330196749358426,0.719597887947565,0.7464414619241203,1.2133483468113417,1.2010000191661974,1.2256966744564861,0.21334834681134202,0.20100001916619775,0.22569667445648628,0.642665574777357,0.6105859558967428,0.6747451936579711
adult,ada,isotonic,class_weighted_threshold,10,0.7017811444364828,0.6856198166838441,0.7179424721891214,0.6239806217198224,0.599924848976968,0.6480363944626768,0.9490590248075277,0.939332667345765,0.9587853822692903,1.0,1.0,1.0,0.0,0.0,0.0,0.407943494728222,0.39866814378126625,0.41721884567517775
adult,ada,isotonic,confidence_rejector,10,0.9998157436789844,0.9997322128087018,0.999899274549267,0.9999327143049388,0.9998737357928152,0.9999916928170623,0.9994439692044483,0.9991365839749075,0.9997513544339892,1.9073190705292251,1.872923696147084,1.9417144449113661,0.907319070529225,0.872923696147084,0.941714444911366,0.0013819224076159278,0.0006479358449765733,0.0021159089702552825
